InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Month
INV10000,P002,USB-C Cable,1,2023-07-20 06:29:00,28.26,3286,Germany,28.26,2023-07
INV10001,P009,Phone Holder,2,2023-11-04 05:37:00,8.02,2535,Spain,16.04,2023-11
INV10002,P004,Portable Charger,9,2023-01-20 07:44:00,58.32,9928,Australia,524.88,2023-01
INV10003,P004,Portable Charger,8,2023-07-22 13:44:00,81.9,1106,France,655.2,2023-07
INV10004,P007,Smart LED Bulb,6,2023-07-22 08:09:00,19.77,6514,Germany,118.62,2023-07
INV10005,P002,USB-C Cable,7,2023-03-12 10:14:00,39.1,6635,Italy,273.7,2023-03
INV10006,P001,Wireless Mouse,8,2023-04-01 21:29:00,97.45,7201,Germany,779.6,2023-04
INV10007,P009,Phone Holder,5,2023-09-21 08:01:00,59.85,2139,United Kingdom,299.25,2023-09
INV10008,P004,Portable Charger,5,2023-02-28 02:27:00,86.26,2654,Australia,431.3,2023-02
INV10009,P005,Laptop Stand,8,2023-09-23 15:54:00,20.45,6820,Spain,163.6,2023-09
INV10010,P005,Laptop Stand,2,2023-05-05 14:51:00,55.74,5010,France,111.48,2023-05
INV10011,P008,Gaming Headset,7,2023-07-16 13:40:00,99.0,4598,Netherlands,693.0,2023-07
INV10012,P001,Wireless Mouse,4,2023-01-24 08:59:00,81.48,7572,Italy,325.92,2023-01
INV10013,P002,USB-C Cable,4,2023-08-18 03:23:00,25.2,9179,Australia,100.8,2023-08
INV10014,P008,Gaming Headset,3,2023-07-12 21:06:00,18.26,9830,Italy,54.78,2023-07
INV10015,P010,Webcam HD,7,2023-10-18 20:01:00,39.39,3266,Sweden,275.73,2023-10
INV10016,P008,Gaming Headset,2,2023-02-04 07:25:00,86.8,3504,France,173.6,2023-02
INV10017,P007,Smart LED Bulb,10,2023-02-16 06:13:00,41.55,8668,Sweden,415.5,2023-02
INV10018,P005,Laptop Stand,9,2023-01-09 08:38:00,69.63,2876,Sweden,626.67,2023-01
INV10019,P005,Laptop Stand,6,2023-03-23 05:30:00,32.88,3591,Norway,197.28000000000003,2023-03
INV10020,P001,Wireless Mouse,5,2023-12-31 12:22:00,77.39,9317,Germany,386.95,2023-12
INV10021,P005,Laptop Stand,9,2023-05-25 20:13:00,19.52,3646,Sweden,175.68,2023-05
INV10022,P009,Phone Holder,1,2023-08-25 01:02:00,51.42,2832,Netherlands,51.42,2023-08
INV10023,P005,Laptop Stand,4,2023-02-12 04:18:00,27.88,2290,Germany,111.52,2023-02
INV10024,P008,Gaming Headset,2,2023-04-02 13:49:00,17.2,8787,Sweden,34.4,2023-04
INV10025,P003,Bluetooth Speaker,5,2023-11-05 02:52:00,96.61,9835,Spain,483.05,2023-11
INV10026,P005,Laptop Stand,7,2023-09-29 21:59:00,46.62,9479,Norway,326.34,2023-09
INV10027,P002,USB-C Cable,4,2023-06-13 14:52:00,11.08,1344,Sweden,44.32,2023-06
INV10028,P004,Portable Charger,10,2023-06-10 08:34:00,5.68,1964,Spain,56.8,2023-06
INV10029,P002,USB-C Cable,1,2023-08-29 14:39:00,11.73,4899,Italy,11.73,2023-08
INV10030,P008,Gaming Headset,4,2023-04-07 08:19:00,73.72,8744,Spain,294.88,2023-04
INV10031,P008,Gaming Headset,7,2023-05-19 15:39:00,13.96,8062,Netherlands,97.72,2023-05
INV10032,P007,Smart LED Bulb,7,2023-12-07 01:50:00,87.06,1887,Germany,609.4200000000001,2023-12
INV10033,P001,Wireless Mouse,7,2023-09-05 01:44:00,81.06,2790,Spain,567.4200000000001,2023-09
INV10034,P004,Portable Charger,4,2023-11-23 16:05:00,18.32,4006,Italy,73.28,2023-11
INV10035,P008,Gaming Headset,4,2023-02-24 21:26:00,47.1,2604,United Kingdom,188.4,2023-02
INV10036,P009,Phone Holder,1,2023-03-09 21:53:00,93.0,4872,France,93.0,2023-03
INV10037,P007,Smart LED Bulb,8,2023-12-17 12:20:00,25.31,7570,United Kingdom,202.48,2023-12
INV10038,P003,Bluetooth Speaker,7,2023-01-02 13:40:00,98.6,5345,Norway,690.1999999999999,2023-01
INV10039,P005,Laptop Stand,7,2023-12-21 09:11:00,19.71,5861,Spain,137.97,2023-12
INV10040,P001,Wireless Mouse,10,2023-02-14 09:18:00,76.06,1936,United Kingdom,760.6,2023-02
INV10041,P010,Webcam HD,8,2023-04-25 15:20:00,10.4,9320,Germany,83.2,2023-04
INV10042,P003,Bluetooth Speaker,2,2023-02-19 11:42:00,69.15,4853,Australia,138.3,2023-02
INV10043,P002,USB-C Cable,10,2023-06-29 06:55:00,60.0,1651,Germany,600.0,2023-06
INV10044,P007,Smart LED Bulb,10,2023-08-19 08:57:00,93.8,4346,Netherlands,938.0,2023-08
INV10045,P004,Portable Charger,5,2023-10-16 04:51:00,17.43,5915,Norway,87.15,2023-10
INV10046,P006,Notebook Cooler,2,2023-01-07 18:47:00,48.54,2638,Germany,97.08,2023-01
INV10047,P009,Phone Holder,4,2023-07-13 02:42:00,17.58,6718,Germany,70.32,2023-07
INV10048,P004,Portable Charger,6,2023-07-27 12:30:00,19.99,9900,Italy,119.94,2023-07
INV10049,P010,Webcam HD,9,2023-01-06 16:43:00,68.45,5905,Germany,616.0500000000001,2023-01
INV10050,P003,Bluetooth Speaker,5,2023-03-26 01:15:00,89.52,3546,Italy,447.59999999999997,2023-03
INV10051,P005,Laptop Stand,10,2023-06-03 09:01:00,73.17,4335,Italy,731.7,2023-06
INV10052,P009,Phone Holder,8,2023-07-02 20:39:00,91.01,1832,Germany,728.08,2023-07
INV10053,P007,Smart LED Bulb,5,2023-02-02 02:28:00,5.34,3143,Italy,26.7,2023-02
INV10054,P003,Bluetooth Speaker,8,2023-11-08 10:22:00,58.29,2832,Germany,466.32,2023-11
INV10055,P003,Bluetooth Speaker,9,2023-01-27 05:38:00,84.29,3426,Australia,758.61,2023-01
INV10056,P003,Bluetooth Speaker,1,2023-08-13 11:12:00,39.64,1653,Netherlands,39.64,2023-08
INV10057,P004,Portable Charger,4,2023-03-16 20:26:00,38.6,7658,France,154.4,2023-03
INV10058,P004,Portable Charger,3,2023-05-09 22:12:00,88.73,1406,France,266.19,2023-05
INV10059,P006,Notebook Cooler,7,2023-06-30 17:02:00,30.35,2771,Australia,212.45000000000002,2023-06
INV10060,P001,Wireless Mouse,8,2023-06-11 23:18:00,23.96,8541,Netherlands,191.68,2023-06
INV10061,P005,Laptop Stand,4,2023-06-12 07:52:00,7.25,4164,Australia,29.0,2023-06
INV10062,P006,Notebook Cooler,5,2023-02-20 13:12:00,96.85,5573,Netherlands,484.25,2023-02
INV10063,P009,Phone Holder,7,2023-08-30 03:15:00,94.23,2889,Italy,659.61,2023-08
INV10064,P003,Bluetooth Speaker,10,2023-07-13 07:21:00,8.63,8119,Netherlands,86.30000000000001,2023-07
INV10065,P006,Notebook Cooler,7,2023-03-26 05:03:00,41.59,4114,Italy,291.13,2023-03
INV10066,P001,Wireless Mouse,7,2023-01-02 05:33:00,54.39,9821,Spain,380.73,2023-01
INV10067,P006,Notebook Cooler,7,2023-02-20 22:52:00,95.14,6409,Netherlands,665.98,2023-02
INV10068,P002,USB-C Cable,5,2023-08-14 05:08:00,68.35,6344,Australia,341.75,2023-08
INV10069,P005,Laptop Stand,9,2023-04-03 16:30:00,23.22,7211,France,208.98,2023-04
INV10070,P010,Webcam HD,10,2023-08-08 03:28:00,43.58,1006,Italy,435.79999999999995,2023-08
INV10071,P005,Laptop Stand,4,2023-11-10 00:50:00,79.65,6279,Norway,318.6,2023-11
INV10072,P008,Gaming Headset,8,2023-06-05 14:42:00,53.56,3780,Germany,428.48,2023-06
INV10073,P005,Laptop Stand,9,2023-09-02 01:50:00,13.87,4848,Italy,124.83,2023-09
INV10074,P004,Portable Charger,4,2023-04-18 07:11:00,7.32,5011,Norway,29.28,2023-04
INV10075,P010,Webcam HD,2,2023-11-28 14:58:00,44.37,4185,Australia,88.74,2023-11
INV10076,P008,Gaming Headset,7,2023-06-27 15:56:00,19.02,1090,Germany,133.14,2023-06
INV10077,P007,Smart LED Bulb,4,2023-05-09 01:50:00,81.39,9486,Norway,325.56,2023-05
INV10078,P001,Wireless Mouse,9,2023-07-01 11:03:00,92.16,2988,Norway,829.4399999999999,2023-07
INV10079,P003,Bluetooth Speaker,8,2023-08-20 01:11:00,95.25,8251,Sweden,762.0,2023-08
INV10080,P007,Smart LED Bulb,9,2023-11-21 16:54:00,90.23,8777,Norway,812.07,2023-11
INV10081,P005,Laptop Stand,4,2023-07-21 22:22:00,77.75,9540,Norway,311.0,2023-07
INV10082,P004,Portable Charger,5,2023-11-17 07:19:00,12.36,5681,Spain,61.8,2023-11
INV10083,P005,Laptop Stand,6,2023-08-21 19:19:00,89.84,2320,France,539.04,2023-08
INV10084,P003,Bluetooth Speaker,4,2023-10-06 22:01:00,70.93,4505,Germany,283.72,2023-10
INV10085,P007,Smart LED Bulb,7,2023-08-29 22:34:00,56.55,7812,United Kingdom,395.84999999999997,2023-08
INV10086,P004,Portable Charger,7,2023-10-11 14:36:00,90.96,1320,Australia,636.7199999999999,2023-10
INV10087,P008,Gaming Headset,1,2023-09-14 03:25:00,33.37,7389,Australia,33.37,2023-09
INV10088,P009,Phone Holder,9,2023-06-10 14:11:00,51.38,5471,Australia,462.42,2023-06
INV10089,P008,Gaming Headset,1,2023-10-11 03:46:00,36.93,7624,France,36.93,2023-10
INV10090,P008,Gaming Headset,3,2023-01-20 15:16:00,91.16,1444,Germany,273.48,2023-01
INV10091,P007,Smart LED Bulb,3,2023-12-03 04:45:00,22.26,5262,Australia,66.78,2023-12
INV10092,P006,Notebook Cooler,4,2023-11-28 02:26:00,36.05,7211,Italy,144.2,2023-11
INV10093,P007,Smart LED Bulb,5,2023-03-01 15:24:00,49.68,9837,United Kingdom,248.4,2023-03
INV10094,P006,Notebook Cooler,4,2023-02-19 23:11:00,79.22,1659,United Kingdom,316.88,2023-02
INV10095,P004,Portable Charger,4,2023-01-15 20:09:00,64.03,4908,France,256.12,2023-01
INV10096,P008,Gaming Headset,2,2023-06-08 17:12:00,49.18,5198,Netherlands,98.36,2023-06
INV10097,P003,Bluetooth Speaker,10,2023-03-25 09:36:00,78.89,3683,Italy,788.9,2023-03
INV10098,P002,USB-C Cable,10,2023-01-19 16:45:00,93.24,7149,Australia,932.4,2023-01
INV10099,P004,Portable Charger,2,2023-06-26 20:06:00,14.68,5941,Germany,29.36,2023-06
INV10100,P010,Webcam HD,1,2023-09-10 19:49:00,55.61,7071,Germany,55.61,2023-09
INV10101,P009,Phone Holder,6,2023-01-10 05:06:00,85.71,9031,Germany,514.26,2023-01
INV10102,P007,Smart LED Bulb,6,2023-12-01 18:31:00,72.19,8135,France,433.14,2023-12
INV10103,P009,Phone Holder,5,2023-12-19 01:43:00,49.16,5397,Netherlands,245.79999999999998,2023-12
INV10104,P004,Portable Charger,2,2023-07-23 02:37:00,88.75,4995,Norway,177.5,2023-07
INV10105,P010,Webcam HD,10,2023-10-03 23:19:00,36.96,9098,Netherlands,369.6,2023-10
INV10106,P003,Bluetooth Speaker,8,2023-06-04 11:03:00,38.71,5232,Netherlands,309.68,2023-06
INV10107,P005,Laptop Stand,10,2023-07-21 04:08:00,57.8,9464,Spain,578.0,2023-07
INV10108,P002,USB-C Cable,4,2023-10-23 22:50:00,51.41,4937,Norway,205.64,2023-10
INV10109,P008,Gaming Headset,8,2023-01-13 13:20:00,13.84,4630,Australia,110.72,2023-01
INV10110,P004,Portable Charger,5,2023-09-26 17:05:00,49.96,9698,Netherlands,249.8,2023-09
INV10111,P007,Smart LED Bulb,9,2023-08-29 20:59:00,38.42,8434,Italy,345.78000000000003,2023-08
INV10112,P005,Laptop Stand,5,2023-06-17 20:56:00,16.46,4155,Netherlands,82.30000000000001,2023-06
INV10113,P002,USB-C Cable,9,2023-05-15 19:43:00,23.2,8933,Italy,208.79999999999998,2023-05
INV10114,P010,Webcam HD,9,2023-07-26 01:45:00,98.15,4180,Italy,883.35,2023-07
INV10115,P004,Portable Charger,6,2023-05-11 15:58:00,33.72,9751,France,202.32,2023-05
INV10116,P005,Laptop Stand,1,2023-02-09 16:54:00,57.57,3068,Norway,57.57,2023-02
INV10117,P002,USB-C Cable,1,2023-07-27 01:11:00,49.59,8216,Netherlands,49.59,2023-07
INV10118,P003,Bluetooth Speaker,1,2023-07-03 20:22:00,94.4,8827,Germany,94.4,2023-07
INV10119,P002,USB-C Cable,7,2023-12-25 01:53:00,12.04,1878,France,84.28,2023-12
